QueryId,DocumentId
10001,53
10001,73
10001,210
10001,149
10001,60
10001,125
10001,154
10001,277
10001,175
10001,146
10002,162
10002,79
10002,166
10002,130
10002,159
10002,158
10002,83
10002,71
10002,40
10002,156
10003,96
10003,19
10003,140
10003,106
10003,48
10003,81
10003,68
10003,78
10003,31
10003,52
10004,59
10004,108
10004,47
10004,130
10004,13
10004,52
10004,8
10004,34
10004,50
10004,113
10005,59
10005,76
10005,31
10005,42
10005,72
10005,80
10005,53
10005,20
10005,14
10005,47
10006,265
10006,175
10006,290
10006,191
10006,272
10006,136
10006,160
10006,266
10006,78
10006,184
10007,163
10007,41
10007,133
10007,136
10007,29
10007,39
10007,72
10007,141
10007,18
10007,74
10008,99
10008,96
10008,133
10008,88
10008,11
10008,51
10008,81
10008,128
10008,109
10008,76
10009,89
10009,53
10009,94
10009,41
10009,60
10009,64
10009,96
10009,23
10009,42
10009,51
10010,42
10010,57
10010,6
10010,113
10010,68
10010,8
10010,20
10010,54
10010,15
10010,95
10011,28
10011,45
10011,46
10011,58
10011,15
10011,31
10011,18
10011,19
10011,53
10011,44
10012,1
10012,57
10012,3
10012,54
10012,60
10012,62
10012,9
10012,20
10012,10
10012,46
10013,138
10013,6
10013,83
10013,142
10013,139
10013,47
10013,46
10013,37
10013,117
10013,148
10014,6
10014,44
10014,26
10014,4
10014,34
10014,30
10014,15
10014,50
10014,19
10014,31
10016,85
10016,86
10016,51
10016,66
10016,18
10016,92
10016,63
10016,25
10016,20
10016,26
10017,156
10017,111
10017,165
10017,126
10017,101
10017,99
10017,38
10017,88
10017,85
10017,136
10018,16
10018,83
10018,76
10018,22
10018,71
10018,1
10018,62
10018,10
10018,72
10018,6
10019,27
10019,54
10019,89
10019,116
10019,121
10019,150
10019,151
10019,175
10019,124
10019,35
10020,13
10020,62
10020,134
10020,52
10020,115
10020,142
10020,57
10020,103
10020,54
10020,6
10021,60
10021,36
10021,101
10021,62
10021,83
10021,68
10021,67
10021,63
10021,76
10021,89
10022,31
10022,66
10022,53
10022,41
10022,67
10022,30
10022,43
10022,26
10022,2
10022,57
10023,87
10023,90
10023,72
10023,57
10023,54
10023,31
10023,52
10023,27
10023,60
10023,18
10024,19
10024,80
10024,84
10024,25
10024,48
10024,55
10024,8
10024,14
10024,10
10024,64
10025,15
10025,73
10025,34
10025,35
10025,40
10025,46
10025,2
10025,84
10025,59
10025,56
10026,128
10026,31
10026,122
10026,112
10026,226
10026,126
10026,251
10026,238
10026,187
10026,13
10027,20
10027,99
10027,64
10027,80
10027,14
10027,39
10027,23
10027,51
10027,8
10027,4
10028,72
10028,17
10028,46
10028,19
10028,28
10028,22
10028,38
10028,36
10028,32
10028,0
10029,32
10029,116
10029,45
10029,78
